Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Manizales;2018;11;3.201.406.169.360.190;13.571.447.427.363.600;17.743.323.971.169.700;1.487.805.638.230.910;3.920.436.953.381.480;26.926.580.368.190.600;7.285.722.803.624.750;9.406.011.199.088.140
Barranquilla;2017;3;3.777.240.550.432.480;8.390.332.035.236.510;2.462.782.141.336.220;944.266.958.610.292;18.010.080.678.576.200;1.953.966.254.982.510;9.059.843.295.314.030;827.428.514.455.996
Pereira;2024;5;39.991.407.179.555.100;12.471.920.318.766.900;1.822.637.771.278.230;13.925.235.114.564.000;3.448.420.972.164.120;16.025.310.870.246.900;7.575.740.535.663.970;14.595.716.276.892.700
Cartagena;2019;3;433.974.267.324.209;8.137.539.390.678.890;27.093.543.301.876.100;10.544.768.586.354.000;4.762.192.085.234.550;27.877.619.856.779.500;7.161.174.130.751.520;6.057.015.713.776.420
Manizales;2019;11;3.856.463.984.449.930;574.022.752.485.457;195.061.661.605.005;1.0;2.231.107.361.141.250;22.443.517.915.538.600;6.083.063.685.122.220;175.536.375.612.182
Santa Marta;2021;10;16.838.860.600.562.500;7.695.832.156.241.760;17.604.894.287.059.400;10.477.302.337.794.100;1.143.536.493.932.810;31.434.546.429.561.400;3.422.259.935.476.190;15.207.629.523.386.900
Cali;2018;11;20.922.993.413.883.700;10.561.277.198.955.400;18.200.333.050.679.700;1.167.777.927.319.790;3.347.807.948.468.500;19.667.385.368.833.900;8.834.784.230.829.390;10.350.460.086.479.800
Manizales;2018;7;26.803.885.708.044.900;10.659.125.192.642.400;30.033.287.738.455.600;1.0;15.696.035.921.564.400;19.775.348.502.167.800;6.920.162.537.437.600;14.805.094.538.815.900
Pereira;2023;1;30.766.391.121.151.500;5.849.325.263.913.840;2.403.250.594.669.640;19.720.241.469.009.400;2.017.201.711.831.770;27.023.954.211.095.500;9.082.444.787.200.770;12.649.333.312.975.600
Cartagena;2020;9;507.616.143.570.817;7.506.367.391.398.590;20.715.782.699.999.600;1.155.603.797.086.380;41.080.043.300.429.800;27.058.763.252.495.200;5.575.550.321.716.480;4.839.872.856.331.150
Barranquilla;2018;9;17.555.915.197.206.300;41.414.662.406.577.000;27.614.045.025.472.100;13.359.938.700.682.400;5.252.279.130.452.010;2.276.715.193.257.320;100.0;6.734.835.365.858.290
Pereira;2016;5;29.638.774.277.439.500;8.649.337.249.382.850;20.854.837.825.323.400;4.172.353.052.118.440;1.799.171.860.390.210;3.867.634.094.904.070;662.681.911.800.058;11.142.989.051.264.400
Pereira;2020;9;49.295.142.473.210.700;10.106.709.398.111.700;3.626.517.893.685.700;1.345.308.761.072.800;2.115.096.311.981.500;20.597.196.038.398.200;5.961.716.509.385.740;10.638.174.323.116.500
