Ciudad;Año;Mes;Casos_Asma;Casos_Bronquitis;Casos_Neumonia;Casos_EPOC;Urgencias_Respiratorias;Hospitalizaciones;Mortalidad_Respiratoria;Edad_Promedio_Pacientes;Costo_Promedio_Paciente
Barranquilla;2019;8;21;15;10;11;40;14;3;4.308.681.144.506.570;4.583.099.156.301.380
Cúcuta;2024;7;16;21;4;5;37;6;2;3.872.711.849.524.010;6.057.727.009.740.530
Cartagena;2018;3;18;18;16;4;22;8;4;100.0;3.481.198.382.367.780
Bogotá;2023;10;20;13;8;5;32;15;3;4.010.345.878.781.170;42.695.242.059.211.800
Barranquilla;2019;12;24;13;9;8;36;14;2;3.911.699.754.081.980;6.308.482.494.304.540
Barranquilla;2024;10;26;18;14;8;31;10;2;4.279.150.334.531.980;6.468.917.546.809.590
Barranquilla;2016;2;14;13;6;7;34;14;3;3.269.201.967.061.130;1.145.449.463.823.120
Cali;2023;9;23;17;13;11;27;11;1;4.798.875.786.366.890;4.809.364.337.547.170
Cali;2024;5;22;18;9;7;34;14;2;8.157.870.838.521.210;6.793.236.904.164.150
Santa Marta;2021;12;21;12;8;10;33;10;1;3.211.323.458.260.860;46.016.463.518.201.400
Cartagena;2023;9;16;13;6;3;29;16;4;516.481.434.158.313;100000.0
Cartagena;2019;4;14;13;6;8;34;12;2;49.084.236.413.485.700;3.214.974.219.506.140
Medellín;2021;11;21;16;16;6;27;13;2;3.574.796.496.669.380;2.875.697.998.331.670
Santa Marta;2022;1;19;16;6;2;31;10;3;32.208.452.196.036.000;5.673.937.550.337.710
Santa Marta;2018;8;5;13;7;9;34;10;1;7.336.532.810.603.280;5.942.746.273.833.630
Cúcuta;2022;5;20;16;10;3;19;10;1;4.272.306.108.229.540;5.852.412.154.635.090
Cali;2021;4;27;22;18;8;23;9;1;4.067.683.785.819.830;19.840.778.077.385.800
Barranquilla;2017;9;20;10;15;7;25;9;2;9.526.130.049.735.760;7.570.199.317.421.390
Medellín;2022;9;21;8;6;10;22;11;0;3.595.163.882.876.190;15.845.446.495.675.500
Pereira;2018;2;30;17;10;9;39;11;2;7.482.886.373.465.700;6.391.786.254.271.570
Manizales;2016;1;22;16;15;8;31;17;2;5.007.850.028.751.320;30.690.731.156.306.600
Cali;2023;8;18;18;12;8;30;8;1;5.352.276.914.145.490;377.966.383.785.441
Cartagena;2022;9;24;15;14;6;30;14;4;566.301.154.237.714;20.345.334.803.553.800
Bogotá;2018;11;19;14;14;12;32;11;2;5.359.416.911.013;6.990.270.365.772.680
Bucaramanga;2017;4;23;14;6;7;33;13;0;4.489.022.911.836.590;627.839.705.970.311
Santa Marta;2017;11;26;15;8;10;25;15;2;5.275.918.441.871.410;2.728.895.011.450.800
Bucaramanga;2020;1;15;12;15;7;30;12;3;5.762.104.550.529.050;6.509.553.702.266.920
Cartagena;2016;7;16;11;13;3;34;9;1;17.821.351.728.804.800;7.671.120.342.571.670
Cúcuta;2017;5;18;19;7;10;31;15;1;7.683.282.937.633.470;36.581.963.941.244.800
Barranquilla;2015;5;18;7;5;9;27;15;0;496.940.997.801.902;5.017.684.755.868.630
Medellín;2024;5;20;16;15;11;27;12;1;5.189.389.709.324.430;4.629.647.802.078.810
Manizales;2019;10;17;11;11;5;31;14;1;5.379.676.455.753.960;912.190.855.263.765
Cartagena;2017;9;20;17;7;5;38;7;0;54.324.299.745.522.400;100000.0
Manizales;2021;7;20;13;8;7;31;15;1;4.719.021.096.910.560;4.501.201.250.889.720
Manizales;2023;2;19;14;10;15;29;18;2;13.811.151.787.925.800;2.780.098.220.199.880
Manizales;2019;10;16;19;14;8;31;15;3;17.294.913.036.922.400;553.553.200.455.663
Cali;2016;9;15;15;10;9;21;10;1;3.905.002.015.789;6.251.014.232.562.280
Cartagena;2016;4;19;20;9;3;27;9;1;24.286.482.898.550.100;100000.0
Bogotá;2018;5;29;17;12;6;29;17;4;6.609.691.909.279.360;28.512.670.813.168.500
Bucaramanga;2024;2;19;13;13;8;22;21;4;58.030.664.496.823.500;44.939.680.958.723.000
Barranquilla;2023;3;21;19;8;10;29;9;0;5.671.349.383.605.610;2.516.785.839.613.320
Medellín;2016;5;17;14;5;11;36;11;0;4.942.191.516.625.390;5.286.865.803.706.970
Cali;2019;1;16;17;8;6;41;11;5;4.663.584.086.831.190;6.870.983.786.076.630
Cali;2021;1;25;12;8;16;32;13;1;4.976.697.840.958.020;29.238.862.034.939.000
Bogotá;2024;1;19;18;9;4;30;13;2;627.747.687.099.372;25.127.403.243.435.500
Manizales;2018;7;23;11;10;7;22;11;1;32.228.916.908.599.600;3.432.367.381.859.730
Santa Marta;2021;10;15;17;15;8;27;15;1;3.517.743.433.018.960;6.099.309.454.379.340
Cali;2021;12;20;18;8;9;24;17;1;3.200.712.967.142.750;4.861.849.941.179.040
Manizales;2016;4;19;19;7;11;34;15;2;3.216.237.005.726.230;8.711.287.121.430.300
Santa Marta;2016;4;22;11;2;3;19;11;5;47.106.779.927.120.500;44.136.590.424.832.500
Santa Marta;2016;11;29;18;10;6;19;15;3;6.656.151.244.602.870;29.776.118.510.392.000
Cúcuta;2023;3;17;18;5;13;33;17;1;43.437.803.586.762.600;32.609.151.261.494.400
Bucaramanga;2015;11;23;11;8;7;36;9;2;8.320.314.676.094.580;5.837.137.005.454.870
Pereira;2020;2;21;17;13;12;33;9;1;5.121.662.892.006.520;762.441.775.936.998
Bogotá;2021;4;16;9;12;11;44;16;3;3.781.708.241.309.300;28.855.374.598.512.400
Pereira;2023;11;16;13;12;4;15;9;1;759.940.146.136.357;2.690.225.938.982.870
Pereira;2017;2;17;17;7;7;36;16;1;4.627.504.753.273.950;6.827.344.663.112.520
Cali;2023;11;20;13;10;9;47;9;3;5.927.692.493.693.240;6.405.278.097.502.640
Bucaramanga;2021;11;22;10;7;7;33;16;1;25.024.038.536.059.700;5.857.053.917.368.370
Bucaramanga;2019;7;19;13;12;12;24;14;3;41.615.153.024.902.900;292.744.368.490.065
Manizales;2019;10;18;13;8;8;27;8;1;5.073.962.590.021.010;8.135.679.888.404.690
Cali;2021;6;12;11;14;8;28;6;1;3.210.679.513.308.400;6.393.454.963.886.100
Santa Marta;2024;6;22;14;8;4;26;6;2;3.747.481.813.943.180;5.654.344.660.567.520
Bogotá;2020;2;25;11;12;6;33;13;1;41.764.086.336.331.600;44.670.503.008.572.100
Cúcuta;2022;11;22;19;12;6;31;19;1;563.600.726.415.323;5.926.722.122.249.680
Bucaramanga;2024;5;20;9;15;5;34;10;3;1.0;8.707.375.938.050.910
Cartagena;2024;10;20;13;11;17;28;12;1;21.405.000.015.337.400;5.826.503.829.849.050
Medellín;2023;8;18;15;16;6;30;15;4;6.787.101.639.388.960;20.107.407.682.637.600
Barranquilla;2020;12;23;24;7;5;31;12;3;5.839.630.089.652.580;7.440.104.561.240.550
Cartagena;2017;2;22;13;8;6;27;19;1;33.845.853.220.279;4.096.565.616.991.770
Santa Marta;2023;8;20;10;7;5;35;7;0;5.798.857.870.360.850;4.912.065.338.623.050
Barranquilla;2016;9;17;16;6;10;26;16;0;4.574.630.864.782.710;37.492.831.905.120.100
Santa Marta;2019;3;19;15;13;5;31;14;3;2.482.461.388.406.220;5.288.349.753.649.210
Barranquilla;2024;12;21;20;11;10;34;14;2;2.255.692.200.621.460;100000.0
Bucaramanga;2018;4;24;16;10;5;36;11;1;21.726.678.514.147.600;4.534.324.857.554.080
Barranquilla;2016;8;14;7;7;6;27;8;1;3.579.145.605.886.260;25.262.765.399.836.100
Cúcuta;2020;2;20;16;11;4;28;15;1;58.421.799.427.876.100;555.271.562.069.875
Medellín;2024;2;13;13;11;2;27;9;3;2.988.471.395.933.650;7.879.553.475.028.150
Cartagena;2021;1;20;13;8;7;27;12;0;3.351.370.055.357.560;6.375.578.565.990.630
Cali;2016;12;15;19;5;9;35;11;3;4.997.389.423.849.560;10.322.091.474.289.700
Pereira;2017;2;15;13;12;9;30;10;2;54.495.857.428.735.400;58.020.733.481.325
Cali;2019;12;26;19;6;7;41;7;1;3.693.647.025.903.630;6.102.491.864.207.360
Pereira;2023;12;23;13;10;6;26;18;5;3.163.011.606.480.080;5.049.078.679.954.910
Pereira;2021;9;19;19;7;13;29;15;4;2.207.543.941.847.450;4.650.360.812.807.930
Medellín;2017;12;20;15;13;8;34;15;1;8.470.048.525.283.390;8.314.473.549.031.890
Santa Marta;2024;5;28;22;11;4;32;16;4;23.613.726.773.902.600;6.026.498.189.143.320
Manizales;2018;4;16;12;7;8;21;17;1;25.634.611.518.014.300;7.897.622.071.620.120
Bucaramanga;2021;2;23;15;7;12;40;11;3;16.195.123.903.031.700;5.209.619.798.969.680
Bogotá;2015;2;30;22;12;11;32;13;2;658.608.989.402.856;3.560.051.851.200.300
Medellín;2018;6;17;21;7;7;31;12;0;6.432.220.623.425.900;100000.0
Barranquilla;2015;7;23;8;13;6;27;8;3;525.713.546.705.528;7.328.607.830.895.630
Medellín;2019;4;22;13;9;7;42;4;1;3.285.771.199.807.840;6.861.114.818.096.570
Cartagena;2016;11;13;8;6;4;40;13;0;6.396.592.865.151.830;5.569.464.242.756.030
Cali;2023;12;19;17;10;7;37;13;3;49.351.447.736.370.100;5.994.701.581.402.380
Bucaramanga;2017;7;28;19;7;5;29;12;3;5.282.744.251.630.450;6.270.785.672.759.470
